,ID,Players,Bat_Score,Bowling_Score,Fielding_Score,Score
0,335982,AA Noffke,13.0,34.0,0.0,47.0
1,335982,B Akhil,-2.0,0.0,0.0,-2.0
2,335982,BB McCullum,316.0,0.0,8.0,324.0
3,335982,CL White,6.0,0.0,8.0,14.0
4,335982,DJ Hussey,16.0,0.0,0.0,16.0
5,335982,JH Kallis,14.0,32.0,8.0,54.0
6,335982,MV Boucher,11.0,0.0,0.0,11.0
7,335982,Mohammad Hafeez,9.0,0.0,0.0,9.0
8,335982,P Kumar,34.0,8.0,8.0,50.0
9,335982,R Dravid,2.0,0.0,0.0,2.0
10,335982,RT Ponting,30.0,0.0,16.0,46.0
11,335982,SB Joshi,3.0,4.0,0.0,7.0
12,335982,SC Ganguly,18.0,83.0,0.0,101.0
13,335982,V Kohli,1.0,0.0,0.0,1.0
14,335982,W Jaffer,0.0,0.0,0.0,0.0
15,335982,Z Khan,3.0,38.0,0.0,41.0
16,335983,IK Pathan,3.0,78.0,8.0,89.0
17,335983,JDP Oram,19.0,6.0,0.0,25.0
18,335983,JR Hopes,141.0,39.0,0.0,180.0
19,335983,K Goel,38.0,-4.0,0.0,34.0
20,335983,KC Sangakkara,98.0,0.0,8.0,106.0
21,335983,MEK Hussey,242.0,0.0,0.0,242.0
22,335983,ML Hayden,49.0,0.0,0.0,49.0
23,335983,MS Dhoni,2.0,0.0,0.0,2.0
24,335983,PA Patel,27.0,0.0,8.0,35.0
25,335983,S Badrinath,59.0,0.0,0.0,59.0
26,335983,SK Raina,62.0,0.0,0.0,62.0
27,335983,SM Katich,27.0,0.0,0.0,27.0
28,335983,Yuvraj Singh,45.0,0.0,0.0,45.0
29,335984,D Salunkhe,46.0,0.0,0.0,46.0
30,335984,DS Lehmann,1.0,0.0,0.0,1.0
31,335984,G Gambhir,104.0,0.0,0.0,104.0
32,335984,M Kaif,3.0,0.0,0.0,3.0
33,335984,M Rawat,2.0,0.0,0.0,2.0
34,335984,RA Jadeja,53.0,0.0,0.0,53.0
35,335984,S Dhawan,96.0,0.0,0.0,96.0
36,335984,SK Trivedi,3.0,4.0,0.0,7.0
37,335984,SK Warne,22.0,2.0,0.0,24.0
38,335984,SR Watson,39.0,47.0,0.0,86.0
39,335984,T Kohli,9.0,0.0,0.0,9.0
40,335984,V Sehwag,24.0,0.0,0.0,24.0
41,335984,YK Pathan,18.0,4.0,0.0,22.0
42,335985,AM Nayar,32.0,2.0,28.0,62.0
43,335985,B Akhil,3.0,68.0,0.0,71.0
44,335985,DJ Thornely,-2.0,0.0,0.0,-2.0
45,335985,Harbhajan Singh,2.0,66.0,0.0,68.0
46,335985,JH Kallis,31.0,-4.0,0.0,27.0
47,335985,L Ronchi,16.0,0.0,8.0,24.0
48,335985,LRPL Taylor,45.0,0.0,0.0,45.0
49,335985,MV Boucher,71.0,0.0,12.0,83.0
50,335985,PR Shah,27.0,0.0,0.0,27.0
51,335985,R Dravid,52.0,0.0,0.0,52.0
52,335985,RV Uthappa,78.0,0.0,0.0,78.0
